YG;YTO Карго
PX;Эйр Ниугини
NZ;Эйр Новая Зеландия
SW;Эйр Намибия
9U;Эйр Молдова
MK;Эйр Маврикий
KM;Эйр Мальта
MD;Эйр Мадагаскар
NX;Эйр Макао
JS;Эйр Коре
AI;Эйр Индия
GT;Эйр Гуйлинь
AF;Эйр Франс
UX;Эйр Европа
EN;Эйр Доломиты
XK;Эйр Корсика
CA;Эйр Китай
TX;Эйр Карайбс
AC;Эйр Канада
TY;Эйр Каледония
SM;Эйр Каир
2J;Эйр Буркина
BP;Эйр Ботсвана
BT;Эйр Балтик
UU;Эйр Аустрал
KC;Эйр Астана
G9;Эйр Арабия
AH;Эйр Алжир
AW;Африка Ворлд
AM;Аэромехико
VW;Аэромар
AR;Аэролайнс Аргентинас (Аргентинские авиалинии)
SU;Аэрофлот
P5;Аэро Репаблика
EI;Аэр Лингус
A3;Аеджин
